Symbol
AAPLApple Inc.
NVDANVIDIA Corporation
MSFTMicrosoft Corporation
"AMZNAmazon.com, Inc."
GOOGAlphabet Inc.
GOOGLAlphabet Inc.
"METAMeta Platforms, Inc."
"TSLATesla, Inc."
AVGOBroadcom Inc.
"NFLXNetflix, Inc."
COSTCostco Wholesale Corporation
"TMUST-Mobile US, Inc."
ASMLASML Holding N.V. - New York Registry Shares
DR
"CSCOCisco Systems, Inc."
AZNAstraZeneca PLC
DR
PLTRPalantir Technologies Inc.
LINLinde plc
"PEPPepsiCo, Inc."
"ISRGIntuitive Surgical, Inc."
"AMDAdvanced Micro Devices, Inc."
QCOMQUALCOMM Incorporated
ADBEAdobe Inc.
PDDPDD Holdings Inc.
DR
INTUIntuit Inc.
TXNTexas Instruments Incorporated
AMGNAmgen Inc.
BKNGBooking Holdings Inc. Common Stock
CMCSAComcast Corporation
HONHoneywell International Inc.
"GILDGilead Sciences, Inc."
ARMArm Holdings plc
DR
VRTXVertex Pharmaceuticals Incorporated
"PANWPalo Alto Networks, Inc."
"AMATApplied Materials, Inc."
"ADPAutomatic Data Processing, Inc."
APPApplovin Corporation
"MELIMercadoLibre, Inc."
SBUXStarbucks Corporation
"ADIAnalog Devices, Inc."
"MUMicron Technology, Inc."
INTCIntel Corporation
LRCXLam Research Corporation
KLACKLA Corporation
"CRWDCrowdStrike Holdings, Inc."
MSTRMicroStrategy Incorporated
"DASHDoorDash, Inc."
"MDLZMondelez International, Inc."
"ABNBAirbnb, Inc."
"ORLYO'Reilly Automotive, Inc."
"FTNTFortinet, Inc."
CTASCintas Corporation
"CDNSCadence Design Systems, Inc."
CEGConstellation Energy Corporation
"SNPSSynopsys, Inc."
"PYPLPayPal Holdings, Inc."
"REGNRegeneron Pharmaceuticals, Inc."
MARMarriott International
"WDAYWorkday, Inc."
"ROPRoper Technologies, Inc."
"MRVLMarvell Technology, Inc."
TEAMAtlassian Corporation
"CHTRCharter Communications, Inc."
"ADSKAutodesk, Inc."
MNSTMonster Beverage Corporation
CSXCSX Corporation
"AEPAmerican Electric Power Company, Inc."
"CPRTCopart, Inc."
NXPINXP Semiconductors N.V.
PCARPACCAR Inc.
"PAYXPaychex, Inc."
"FANGDiamondback Energy, Inc."
KDPKeurig Dr Pepper Inc.
BKRBaker Hughes Company
"AXONAxon Enterprise, Inc."
FASTFastenal Company
EXCExelon Corporation
LULUlululemon athletica inc.
"VRSKVerisk Analytics, Inc."
XELXcel Energy Inc.
CTSHCognizant Technology Solutions Corporation
CCEPCoca-Cola Europacific Partners plc
"TTWOTake-Two Interactive Software, Inc."
"DDOGDatadog, Inc."
GEHCGE HealthCare Technologies Inc.
EAElectronic Arts Inc.
"ODFLOld Dominion Freight Line, Inc."
KHCThe Kraft Heinz Company
"IDXXIDEXX Laboratories, Inc."
"CSGPCoStar Group, Inc."
"ZSZscaler, Inc."
"TTDThe Trade Desk, Inc."
"DXCMDexCom, Inc."
"ANSSANSYS, Inc."
MCHPMicrochip Technology Incorporated
"WBDWarner Bros. Discovery, Inc. - Series A"
CDWCDW Corporation
GFSGlobalFoundries Inc.
BIIBBiogen Inc.
ONON Semiconductor Corporation
"MDBMongoDB, Inc."
"ROSTRoss Stores, Inc."
